From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Pathway	Function [CC]	Organism (ID)	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Organism
NP_001327294.1	Q39030	reviewed	KPK2_ARATH	Serine/threonine-protein kinase AtPK2/AtPK19 (EC 2.7.11.1) (Ribosomal-protein S6 kinase homolog 2)	ATPK2 ATPK19 S6K2 At3g08720 F17O14.19		FUNCTION: Downstream effector of TOR signaling pathway. May be involved in adaptation of plant to cold or high-salt conditions. Mediates the phosphorylation of MRFs (e.g. MRF1) (PubMed:29084871). {ECO:0000269|PubMed:29084871}.	3702	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0009408; GO:0009409; GO:0009651; GO:0016301; GO:0045727; GO:0071456; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_001327295.1	Q39030	reviewed	KPK2_ARATH	Serine/threonine-protein kinase AtPK2/AtPK19 (EC 2.7.11.1) (Ribosomal-protein S6 kinase homolog 2)	ATPK2 ATPK19 S6K2 At3g08720 F17O14.19		FUNCTION: Downstream effector of TOR signaling pathway. May be involved in adaptation of plant to cold or high-salt conditions. Mediates the phosphorylation of MRFs (e.g. MRF1) (PubMed:29084871). {ECO:0000269|PubMed:29084871}.	3702	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0009408; GO:0009409; GO:0009651; GO:0016301; GO:0045727; GO:0071456; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_187484.1	Q39030	reviewed	KPK2_ARATH	Serine/threonine-protein kinase AtPK2/AtPK19 (EC 2.7.11.1) (Ribosomal-protein S6 kinase homolog 2)	ATPK2 ATPK19 S6K2 At3g08720 F17O14.19		FUNCTION: Downstream effector of TOR signaling pathway. May be involved in adaptation of plant to cold or high-salt conditions. Mediates the phosphorylation of MRFs (e.g. MRF1) (PubMed:29084871). {ECO:0000269|PubMed:29084871}.	3702	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0009408; GO:0009409; GO:0009651; GO:0016301; GO:0045727; GO:0071456; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_850543.1	Q39030	reviewed	KPK2_ARATH	Serine/threonine-protein kinase AtPK2/AtPK19 (EC 2.7.11.1) (Ribosomal-protein S6 kinase homolog 2)	ATPK2 ATPK19 S6K2 At3g08720 F17O14.19		FUNCTION: Downstream effector of TOR signaling pathway. May be involved in adaptation of plant to cold or high-salt conditions. Mediates the phosphorylation of MRFs (e.g. MRF1) (PubMed:29084871). {ECO:0000269|PubMed:29084871}.	3702	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0009408; GO:0009409; GO:0009651; GO:0016301; GO:0045727; GO:0071456; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
XP_809943.1	Q4D6D3	unreviewed	Q4D6D3_TRYCC	Rac serine-threonine kinase, putative	Tc00.1047053509047.110			353153			ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	Trypanosoma cruzi (strain CL Brener)
XP_042926603.1	A0A2K3DZH4	unreviewed	A0A2K3DZH4_CHLRE	cGMP-dependent protein kinase (EC 2.7.11.12)	CHLRE_03g199050v5			3055	cAMP-dependent protein kinase complex [GO:0005952]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]	cAMP-dependent protein kinase complex [GO:0005952]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; metal ion binding [GO:0046872]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; metal ion binding [GO:0046872]	GO:0004691; GO:0004692; GO:0005524; GO:0005952; GO:0007189; GO:0030553; GO:0046872	Chlamydomonas reinhardtii (Chlamydomonas smithii)
XP_002500126.1	C1DY87	unreviewed	C1DY87_MICCC	non-specific serine/threonine protein kinase (EC 2.7.11.1)	MICPUN_56023			296587			ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0106310	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)
XP_002506253.1	C1EHI1	unreviewed	C1EHI1_MICCC	non-specific serine/threonine protein kinase (EC 2.7.11.1)	MICPUN_64236			296587	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)
XP_002506490.1	C1EHV2	unreviewed	C1EHV2_MICCC	cGMP-dependent protein kinase (EC 2.7.11.12)	CPKG1 MICPUN_64355			296587			ATP binding [GO:0005524]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]	ATP binding [GO:0005524]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]	GO:0004692; GO:0005524; GO:0030553	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)
NP_001318824.1	P93025	reviewed	PHOT2_ARATH	Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1)	PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6		FUNCTION: Protein kinase that acts as a blue light photoreceptor in a signal-transduction pathway for photo-induced movements (PubMed:14739272, PubMed:15821287, PubMed:31904040, PubMed:32855213). Triggers the phosphorylation of AHA1 and AHA2 C-terminal penultimate Thr in guard cells to activate them and induce stomatal opening in response to blue light (BL) (PubMed:15821287, PubMed:31904040). Also phosphorylates BLUS1, a kinase involved in stomatal opening (PubMed:23811955). Mediates calcium spiking of extra- and intracellular origins in response to blue light. Involved in hypocotyl phototropism. Contributes to the chloroplast accumulation in low blue light and mediates their translocation (avoidance response) at high fluence. Regulates stomata opening and photomorphogenesis response of leaf tissue. Not involved in hypocotyl elongation inhibition, anthocyanin accumulation or cotyledon opening. {ECO:0000269|PubMed:11251116, ECO:0000269|PubMed:11371609, ECO:0000269|PubMed:12821778, ECO:0000269|PubMed:14739272, ECO:0000269|PubMed:14982991, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:15821287, ECO:0000269|PubMed:23811955, ECO:0000269|PubMed:31904040, ECO:0000269|PubMed:32855213, ECO:0000303|PubMed:15821287, ECO:0000303|PubMed:31904040}.	3702	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]	blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005794; GO:0005886; GO:0007623; GO:0009536; GO:0009637; GO:0009638; GO:0009785; GO:0009882; GO:0009902; GO:0010118; GO:0010181; GO:0016020; GO:0016301; GO:0042802; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_001330355.1	P93025	reviewed	PHOT2_ARATH	Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1)	PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6		FUNCTION: Protein kinase that acts as a blue light photoreceptor in a signal-transduction pathway for photo-induced movements (PubMed:14739272, PubMed:15821287, PubMed:31904040, PubMed:32855213). Triggers the phosphorylation of AHA1 and AHA2 C-terminal penultimate Thr in guard cells to activate them and induce stomatal opening in response to blue light (BL) (PubMed:15821287, PubMed:31904040). Also phosphorylates BLUS1, a kinase involved in stomatal opening (PubMed:23811955). Mediates calcium spiking of extra- and intracellular origins in response to blue light. Involved in hypocotyl phototropism. Contributes to the chloroplast accumulation in low blue light and mediates their translocation (avoidance response) at high fluence. Regulates stomata opening and photomorphogenesis response of leaf tissue. Not involved in hypocotyl elongation inhibition, anthocyanin accumulation or cotyledon opening. {ECO:0000269|PubMed:11251116, ECO:0000269|PubMed:11371609, ECO:0000269|PubMed:12821778, ECO:0000269|PubMed:14739272, ECO:0000269|PubMed:14982991, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:15821287, ECO:0000269|PubMed:23811955, ECO:0000269|PubMed:31904040, ECO:0000269|PubMed:32855213, ECO:0000303|PubMed:15821287, ECO:0000303|PubMed:31904040}.	3702	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]	blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005794; GO:0005886; GO:0007623; GO:0009536; GO:0009637; GO:0009638; GO:0009785; GO:0009882; GO:0009902; GO:0010118; GO:0010181; GO:0016020; GO:0016301; GO:0042802; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_001330356.1	P93025	reviewed	PHOT2_ARATH	Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1)	PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6		FUNCTION: Protein kinase that acts as a blue light photoreceptor in a signal-transduction pathway for photo-induced movements (PubMed:14739272, PubMed:15821287, PubMed:31904040, PubMed:32855213). Triggers the phosphorylation of AHA1 and AHA2 C-terminal penultimate Thr in guard cells to activate them and induce stomatal opening in response to blue light (BL) (PubMed:15821287, PubMed:31904040). Also phosphorylates BLUS1, a kinase involved in stomatal opening (PubMed:23811955). Mediates calcium spiking of extra- and intracellular origins in response to blue light. Involved in hypocotyl phototropism. Contributes to the chloroplast accumulation in low blue light and mediates their translocation (avoidance response) at high fluence. Regulates stomata opening and photomorphogenesis response of leaf tissue. Not involved in hypocotyl elongation inhibition, anthocyanin accumulation or cotyledon opening. {ECO:0000269|PubMed:11251116, ECO:0000269|PubMed:11371609, ECO:0000269|PubMed:12821778, ECO:0000269|PubMed:14739272, ECO:0000269|PubMed:14982991, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:15821287, ECO:0000269|PubMed:23811955, ECO:0000269|PubMed:31904040, ECO:0000269|PubMed:32855213, ECO:0000303|PubMed:15821287, ECO:0000303|PubMed:31904040}.	3702	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]	blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005794; GO:0005886; GO:0007623; GO:0009536; GO:0009637; GO:0009638; GO:0009785; GO:0009882; GO:0009902; GO:0010118; GO:0010181; GO:0016020; GO:0016301; GO:0042802; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_851210.1	P93025	reviewed	PHOT2_ARATH	Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1)	PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6		FUNCTION: Protein kinase that acts as a blue light photoreceptor in a signal-transduction pathway for photo-induced movements (PubMed:14739272, PubMed:15821287, PubMed:31904040, PubMed:32855213). Triggers the phosphorylation of AHA1 and AHA2 C-terminal penultimate Thr in guard cells to activate them and induce stomatal opening in response to blue light (BL) (PubMed:15821287, PubMed:31904040). Also phosphorylates BLUS1, a kinase involved in stomatal opening (PubMed:23811955). Mediates calcium spiking of extra- and intracellular origins in response to blue light. Involved in hypocotyl phototropism. Contributes to the chloroplast accumulation in low blue light and mediates their translocation (avoidance response) at high fluence. Regulates stomata opening and photomorphogenesis response of leaf tissue. Not involved in hypocotyl elongation inhibition, anthocyanin accumulation or cotyledon opening. {ECO:0000269|PubMed:11251116, ECO:0000269|PubMed:11371609, ECO:0000269|PubMed:12821778, ECO:0000269|PubMed:14739272, ECO:0000269|PubMed:14982991, ECO:0000269|PubMed:15031408, ECO:0000269|PubMed:15821287, ECO:0000269|PubMed:23811955, ECO:0000269|PubMed:31904040, ECO:0000269|PubMed:32855213, ECO:0000303|PubMed:15821287, ECO:0000303|PubMed:31904040}.	3702	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]	blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plastid [GO:0009536]; ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; blue light signaling pathway [GO:0009785]; chloroplast relocation [GO:0009902]; circadian rhythm [GO:0007623]; phototropism [GO:0009638]; response to blue light [GO:0009637]; stomatal movement [GO:0010118]	ATP binding [GO:0005524]; blue light photoreceptor activity [GO:0009882]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005794; GO:0005886; GO:0007623; GO:0009536; GO:0009637; GO:0009638; GO:0009785; GO:0009882; GO:0009902; GO:0010118; GO:0010181; GO:0016020; GO:0016301; GO:0042802; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
