NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF16609	SH3-RhoGEF linking unstructured region	1706	1891	1.0E-29	T	14-10-2025	-	-	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF23323	Kalirin-like, spectrin repeats	770	879	8.6E-53	T	14-10-2025	-	-	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00435	Spectrin repeat	891	998	0.0089	T	14-10-2025	IPR002017	Spectrin repeat	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00435	Spectrin repeat	1132	1227	8.0E-5	T	14-10-2025	IPR002017	Spectrin repeat	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00435	Spectrin repeat	540	640	1.5E-5	T	14-10-2025	IPR002017	Spectrin repeat	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00435	Spectrin repeat	311	414	9.3E-6	T	14-10-2025	IPR002017	Spectrin repeat	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF13716	Divergent CRAL/TRIO domain	54	181	5.1E-5	T	14-10-2025	IPR001251	CRAL-TRIO lipid binding domain	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF22697	SOS1/NGEF-like PH domain	2117	2224	4.5E-26	T	14-10-2025	IPR055251	SOS1/NGEF-like, PH domain	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF22697	SOS1/NGEF-like PH domain	1469	1578	4.4E-27	T	14-10-2025	IPR055251	SOS1/NGEF-like, PH domain	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF07679	Immunoglobulin I-set domain	2471	2565	1.2E-14	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF23587	Kalirin, SH3	2316	2384	1.9E-39	T	14-10-2025	IPR047053	Kalirin/Triple functional domain protein, SH3 domain 2	-	-
NP_001028750.1	0aac7e1ad3de868d74674b74f06cc8f2	496	Pfam	PF00787	PX domain	42	119	2.6E-15	T	14-10-2025	IPR001683	Phox homology	-	-
NP_001028750.1	0aac7e1ad3de868d74674b74f06cc8f2	496	Pfam	PF00433	Protein kinase C terminal domain	440	487	3.1E-4	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001028750.1	0aac7e1ad3de868d74674b74f06cc8f2	496	Pfam	PF00069	Protein kinase domain	164	419	1.5E-64	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001028753.1	75aa86888d119452c54b4dd3417f452c	409	Pfam	PF00433	Protein kinase C terminal domain	357	397	1.3E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001028753.1	75aa86888d119452c54b4dd3417f452c	409	Pfam	PF00069	Protein kinase domain	71	333	2.2E-62	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001028754.1	75aa86888d119452c54b4dd3417f452c	409	Pfam	PF00433	Protein kinase C terminal domain	357	397	1.3E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001028754.1	75aa86888d119452c54b4dd3417f452c	409	Pfam	PF00069	Protein kinase domain	71	333	2.2E-62	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001073349.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF25525	Serine/threonine-protein kinase D1-like, ubiquitin-like domain	45	127	5.0E-27	T	14-10-2025	IPR057764	Serine/threonine-protein kinase D1-3-like, ubiquitin-like domain	-	-
NP_001073349.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00069	Protein kinase domain	555	807	5.1E-67	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001073349.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00169	PH domain	400	473	0.049	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001073349.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	139	189	3.5E-11	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001073349.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	265	314	1.5E-11	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001073350.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF25525	Serine/threonine-protein kinase D1-like, ubiquitin-like domain	45	127	5.0E-27	T	14-10-2025	IPR057764	Serine/threonine-protein kinase D1-3-like, ubiquitin-like domain	-	-
NP_001073350.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00069	Protein kinase domain	555	807	5.1E-67	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001073350.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00169	PH domain	400	473	0.049	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001073350.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	139	189	3.5E-11	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001073350.1	804b527cd4fc0992b800ceda92a8d048	878	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	265	314	1.5E-11	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001073351.1	593af7c37cff29407441d18f9b77d7ed	721	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	2	32	0.0043	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001073351.1	593af7c37cff29407441d18f9b77d7ed	721	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	108	157	1.2E-11	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001073351.1	593af7c37cff29407441d18f9b77d7ed	721	Pfam	PF00169	PH domain	243	316	0.038	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001073351.1	593af7c37cff29407441d18f9b77d7ed	721	Pfam	PF00069	Protein kinase domain	398	650	3.4E-67	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001091982.1	e13d4905ae105519cb314d29bda73ee9	671	Pfam	PF16808	Coiled-coil N-terminus of cGMP-dependent protein kinase	10	44	1.5E-11	T	14-10-2025	IPR031831	cGMP-dependent protein kinase, N-terminal coiled-coil domain	-	-
NP_001091982.1	e13d4905ae105519cb314d29bda73ee9	671	Pfam	PF00069	Protein kinase domain	361	619	9.7E-69	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001091982.1	e13d4905ae105519cb314d29bda73ee9	671	Pfam	PF00027	Cyclic nucleotide-binding domain	240	325	6.6E-17	T	14-10-2025	IPR000595	Cyclic nucleotide-binding domain	-	-
NP_001091982.1	e13d4905ae105519cb314d29bda73ee9	671	Pfam	PF00027	Cyclic nucleotide-binding domain	122	203	1.1E-13	T	14-10-2025	IPR000595	Cyclic nucleotide-binding domain	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF00041	Fibronectin type III domain	4524	4607	3.5E-7	T	14-10-2025	IPR003961	Fibronectin type III	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF22697	SOS1/NGEF-like PH domain	5890	6000	1.3E-22	T	14-10-2025	IPR055251	SOS1/NGEF-like, PH domain	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	4898	4988	1.6E-12	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1726	1796	9.4E-6	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	6014	6098	4.1E-12	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2293	2364	4.0E-5	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2471	2553	2.6E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1358	1424	1.9E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	6108	6199	7.7E-13	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	4630	4696	0.002	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2829	2909	9.4E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1900	1978	1.6E-7	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1082	1148	4.2E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2918	2996	1.2E-5	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3006	3080	0.0095	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3097	3170	2.1E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2648	2724	1.6E-6	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	809	872	0.0072	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1450	1517	5.9E-6	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	4252	4336	0.0094	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1634	1700	3.4E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	734	779	0.046	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3627	3698	9.3E-5	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1810	1894	0.0058	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3451	3530	0.0023	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	990	1057	4.5E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3980	4051	1.2E-4	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3715	3797	1.1E-5	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	4068	4143	4.0E-6	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	4161	4244	0.0014	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	5126	5216	4.1E-19	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1990	2072	0.0079	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3363	3445	5.0E-5	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3186	3269	8.8E-6	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	5260	5350	2.4E-12	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	5371	5466	4.3E-10	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1174	1240	2.1E-10	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	10	99	3.2E-20	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2738	2809	0.017	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3275	3349	3.2E-4	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	245	328	2.2E-13	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	898	964	1.8E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	335	405	2.4E-5	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3803	3885	1.2E-6	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2560	2626	0.0051	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	110	201	3.1E-15	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3890	3974	3.0E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	7463	7548	3.4E-12	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	3539	3610	1.2E-6	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1541	1609	7.3E-10	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	1266	1332	1.1E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	6357	6446	1.4E-16	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF07679	Immunoglobulin I-set domain	2167	2250	1.6E-8	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF00621	RhoGEF domain	5697	5871	1.4E-15	T	14-10-2025	IPR000219	Dbl homology domain	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF00612	IQ calmodulin-binding motif	4874	4893	1.2	T	14-10-2025	IPR000048	IQ motif, EF-hand binding site	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF00069	Protein kinase domain	6468	6721	9.2E-61	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001092093.2	3f784116883f68082b3cdff6811705ab	7968	Pfam	PF00069	Protein kinase domain	7675	7924	1.7E-39	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001137148.1	62ea22bbb41d8b31ddee33d065552ad8	526	Pfam	PF00069	Protein kinase domain	193	450	1.9E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001137148.1	62ea22bbb41d8b31ddee33d065552ad8	526	Pfam	PF00433	Protein kinase C terminal domain	471	518	6.8E-6	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001137149.1	ca0daaca9839f00927d114fa2cf23db8	459	Pfam	PF00433	Protein kinase C terminal domain	404	451	5.6E-6	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001137149.1	ca0daaca9839f00927d114fa2cf23db8	459	Pfam	PF00069	Protein kinase domain	126	383	1.4E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001137150.1	2005980338b49d4b799bd66f2b5b6b79	445	Pfam	PF00433	Protein kinase C terminal domain	390	437	5.4E-6	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001137150.1	2005980338b49d4b799bd66f2b5b6b79	445	Pfam	PF00069	Protein kinase domain	112	369	1.3E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001186193.1	2b87b90a88b70d0ecb401c4d0f529c84	367	Pfam	PF00069	Protein kinase domain	37	292	3.7E-66	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001186193.1	2b87b90a88b70d0ecb401c4d0f529c84	367	Pfam	PF00433	Protein kinase C terminal domain	313	357	1.9E-4	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001191102.1	0aac7e1ad3de868d74674b74f06cc8f2	496	Pfam	PF00787	PX domain	42	119	2.6E-15	T	14-10-2025	IPR001683	Phox homology	-	-
NP_001191102.1	0aac7e1ad3de868d74674b74f06cc8f2	496	Pfam	PF00433	Protein kinase C terminal domain	440	487	3.1E-4	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001191102.1	0aac7e1ad3de868d74674b74f06cc8f2	496	Pfam	PF00069	Protein kinase domain	164	419	1.5E-64	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001193658.1	f07f12cad3dcb9706b81c9e5c44dcd2a	465	Pfam	PF00433	Protein kinase C terminal domain	426	451	8.3E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001193658.1	f07f12cad3dcb9706b81c9e5c44dcd2a	465	Pfam	PF00069	Protein kinase domain	150	405	5.6E-76	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001193658.1	f07f12cad3dcb9706b81c9e5c44dcd2a	465	Pfam	PF00169	PH domain	7	105	1.2E-13	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001193928.1	93346429cc4a348e5a403ad9fdb82989	2069	Pfam	PF00780	CNH domain	1644	1897	3.3E-59	T	14-10-2025	IPR001180	Citron homology (CNH) domain	-	-
NP_001193928.1	93346429cc4a348e5a403ad9fdb82989	2069	Pfam	PF00169	PH domain	1487	1604	7.4E-6	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001193928.1	93346429cc4a348e5a403ad9fdb82989	2069	Pfam	PF00069	Protein kinase domain	98	360	1.3E-56	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001193928.1	93346429cc4a348e5a403ad9fdb82989	2069	Pfam	PF00433	Protein kinase C terminal domain	379	421	0.19	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001229342.1	5035f7b10683c9995cff5668fa3f638e	643	Pfam	PF00433	Protein kinase C terminal domain	592	633	8.5E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001229342.1	5035f7b10683c9995cff5668fa3f638e	643	Pfam	PF21494	Protein kinase C delta/epsilon/eta/theta, C2 domain	4	113	1.8E-46	T	14-10-2025	-	-	-	-
NP_001229342.1	5035f7b10683c9995cff5668fa3f638e	643	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	160	210	1.5E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001229342.1	5035f7b10683c9995cff5668fa3f638e	643	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	232	283	7.1E-16	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001229342.1	5035f7b10683c9995cff5668fa3f638e	643	Pfam	PF00069	Protein kinase domain	382	551	2.5E-41	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001229786.1	fa8c2e985f504a82440fb57355c38bee	358	Pfam	PF00069	Protein kinase domain	51	305	2.2E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001229787.1	4b53c1db9d85e88e95ed80e2248c36b0	339	Pfam	PF00069	Protein kinase domain	32	286	1.8E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
