Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
Smik-IFO1815	GCF_947241705.1	GCA_947241705.1	Saccharomyces mikatae IFO 1815	226126		IFO1815					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
ASM3642611v1	GCA_036426115.1	GCF_036426115.1	Kwoniella botswanensis	1268659		CBS 12716					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		3
ASM3642611v1	GCF_036426115.1	GCA_036426115.1	Kwoniella botswanensis	1268659		CBS 12716					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		3
ASM164002v2	GCA_001640025.2	GCF_001640025.1	Sugiyamaella lignohabitans	796027		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
ASM164002v2	GCF_001640025.1	GCA_001640025.2	Sugiyamaella lignohabitans	796027		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
ASM2792174v1	GCA_027921745.1	GCF_027921745.1	Schizosaccharomyces osmophilus	2545709		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
ASM2792174v1	GCF_027921745.1	GCA_027921745.1	Schizosaccharomyces osmophilus	2545709		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
ASM2954284v1	GCA_029542845.1		Malassezia nana	180528		CBS 9557					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
ASM2954290v1	GCA_029542905.1		Malassezia arunalokei	1514897		CBS 13387					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954278v1	GCA_029542785.1	GCF_029542785.1	Malassezia japonica	223818		CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954278v1	GCF_029542785.1	GCA_029542785.1	Malassezia japonica	223818		CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954292v1	GCA_029542925.1	GCF_029542925.1	Malassezia vespertilionis	2020962		CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954292v1	GCF_029542925.1	GCA_029542925.1	Malassezia vespertilionis	2020962		CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2944935v1	GCA_029449355.1		Emydomyces testavorans	2070801		16-2883					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-28		5
Remth1	GCA_042764415.1	GCF_042764415.1	Remersonia thermophila	72144		ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
Remth1	GCF_042764415.1	GCA_042764415.1	Remersonia thermophila	72144		ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
ASM51258v3	GCA_000512585.3	GCF_000512585.2	Kwoniella bestiolae CBS 10118	1296100		CBS 10118					Annotation submitted by Broad Institute	Complete Genome	2024-02-14		8
ASM51258v3	GCF_000512585.2	GCA_000512585.3	Kwoniella bestiolae CBS 10118	1296100		CBS 10118					Annotation submitted by Broad Institute	Complete Genome	2024-06-21		8
ASM172019v2	GCA_001720195.2	GCF_001720195.1	Cryptococcus depauperatus CBS 7841	1295531		CBS 7841					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		8
ASM172019v2	GCF_001720195.1	GCA_001720195.2	Cryptococcus depauperatus CBS 7841	1295531		CBS 7841					Annotation submitted by Broad Institute	Complete Genome	2024-07-02		8
ASM51256v3	GCA_000512565.3	GCF_000512565.2	Kwoniella dejecticola CBS 10117	1296121		CBS 10117					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
ASM51256v3	GCF_000512565.2	GCA_000512565.3	Kwoniella dejecticola CBS 10117	1296121		CBS 10117					Annotation submitted by Broad Institute	Complete Genome	2024-06-24		11
ASM3565835v1	GCA_035658355.1	GCF_035658355.1	Kwoniella shivajii	564305					CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
ASM3565835v1	GCF_035658355.1	GCA_035658355.1	Kwoniella shivajii	564305					CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
ASM3681041v1	GCA_036810415.1	GCF_036810415.1	Kwoniella dendrophila CBS 6074	1295534		CBS 6074					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
ASM3681041v1	GCF_036810415.1	GCA_036810415.1	Kwoniella dendrophila CBS 6074	1295534		CBS 6074					Annotation submitted by Broad Institute	Complete Genome	2024-07-02		11
ASM51260v3	GCA_000512605.3	GCF_000512605.2	Kwoniella pini CBS 10737	1296096		CBS 10737					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
ASM51260v3	GCF_000512605.2	GCA_000512605.3	Kwoniella pini CBS 10737	1296096		CBS 10737					Annotation submitted by Broad Institute	Complete Genome	2024-12-07		11
ASM862963v2	GCA_008629635.2	GCF_008629635.2	Kwoniella shandongensis	1734106		CBS 12478					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		14
ASM862963v2	GCF_008629635.2	GCA_008629635.2	Kwoniella shandongensis	1734106		CBS 12478					Annotation submitted by Broad Institute	Complete Genome	2024-06-24		14
ASM154855v1	GCA_001548555.1	GCF_001548555.1	Eremothecium sinecaudum	45286		ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
ASM154855v1	GCF_001548555.1	GCA_001548555.1	Eremothecium sinecaudum	45286		ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
ASM1413389v1	GCA_014133895.1	GCF_014133895.1	Torulaspora globosa	48254		CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
ASM1413389v1	GCF_014133895.1	GCA_014133895.1	Torulaspora globosa	48254		CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
jamPhyA2	GCA_976943335.1		Parajaminaea phylloscopi	1463510		CBS 14087					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2025-10-05		3
symKanA1	GCA_976943355.1		Sympodiomycopsis kandeliae	574677		CBS 11676					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2025-10-05		6
ASM1107486v2	GCA_011074865.2	GCF_011074865.1	Brettanomyces nanus	13502		CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
ASM1107486v2	GCF_011074865.1	GCA_011074865.2	Brettanomyces nanus	13502		CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
ASM3086435v1	GCA_030864355.1	GCF_030864355.1	Cutaneotrichosporon cavernicola	279322		HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
ASM3086435v1	GCF_030864355.1	GCA_030864355.1	Cutaneotrichosporon cavernicola	279322		HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
lodBeiA1	GCA_963989305.1	GCF_963989305.1	Lodderomyces beijingensis	1775926		CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
lodBeiA1	GCF_963989305.1	GCA_963989305.1	Lodderomyces beijingensis	1775926		CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
ASM2954298v1	GCA_029542985.1		Malassezia brasiliensis	1821822		CBS 14135					Annotation submitted by Duke University	Complete Genome	2023-04-03		7
RnylJCM10213v2	GCA_051805555.1		Rhodosporidiobolus nylandii	100910		JCM10213					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
ASM2954294v1	GCA_029542945.1		Malassezia obtusa	76774		CBS 7876					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
ASM2954280v1	GCA_029542805.1		Malassezia cuniculi	948313		CBS 11721					Annotation submitted by Duke University	Complete Genome	2023-04-03		6
ASM2954276v1	GCA_029542765.1		Malassezia psittaci	1821823		CBS 14136					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
ASM2954296v1	GCA_029542965.1		Malassezia yamatoensis	253288		CBS 9725					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
ASM2954288v1	GCA_029542885.1		Malassezia caprae	1381934		CBS 10434					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
Sav_pha_PYCC9005_v1	GCA_051599415.1		Savitreella phatthalungensis	3025216		PYCC_9005					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-19		27
R64	GCA_000146045.2	GCF_000146045.2	Saccharomyces cerevisiae S288C	559292		S288C					SGD R64-4-1	Complete Genome	2011-04-18		16
R64	GCF_000146045.2	GCA_000146045.2	Saccharomyces cerevisiae S288C	559292		S288C					SGD R64-5-1	Complete Genome	2014-12-17		16
GRCz12tu	GCF_049306965.1	GCA_049306965.1	Danio rerio	7955		Tuebingen		United States		male	GCF_049306965.1-RS_2025_04	Complete Genome	2025-04-04	JBMGRA01	25
AGIS1.0	GCF_034140825.1	GCA_034140825.1	Oryza sativa Japonica Group	39947							GCF_034140825.1-RS_2024_06	Complete Genome	2023-12-06		12
WBcel235	GCA_000002985.3	GCF_000002985.6	Caenorhabditis elegans	6239		Bristol N2					Annotation submitted by C. elegans Sequencing Consortium	Complete Genome	2013-02-07		6
WBcel235	GCF_000002985.6	GCA_000002985.3	Caenorhabditis elegans	6239		Bristol N2					WormBase WS298	Complete Genome	2013-02-07		6
T2T-MMU8v2.0	GCF_049350105.2	GCA_049350105.2	Macaca mulatta	9544					MMU2019108-1	female	GCF_049350105.2-RS_2025_08	Complete Genome	2025-07-24	JBMGST02	22
GCA_000002765	GCF_000002765.6	GCA_000002765.3	Plasmodium falciparum 3D7	36329					3D7		Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium	Complete Genome	2016-04-07		14
ASM3070453v1	GCA_030704535.1	GCF_030704535.1	Vitis vinifera	29760			Pinot Noir 40024				Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences	Complete Genome	2023-08-09		19
ASM3070453v1	GCF_030704535.1	GCA_030704535.1	Vitis vinifera	29760			Pinot Noir 40024				GCF_030704535.1-RS_2023_09	Complete Genome	2023-08-09		19
T2T-MFA8v1.1	GCF_037993035.2	GCA_037993035.2	Macaca fascicularis	9541					582-1	female	GCF_037993035.2-RS_2025_03	Complete Genome	2024-09-18		22
GDT2T_hap1	GCF_042453785.1	GCA_042453785.1	Malus domestica	3750							GCF_042453785.1-RS_2024_12	Complete Genome	2024-09-27		17
ASM1308505v1	GCA_013085055.1	GCF_013085055.1	Fusarium oxysporum Fo47	660027		Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
ASM1308505v1	GCF_013085055.1	GCA_013085055.1	Fusarium oxysporum Fo47	660027		Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
IASCAAS_PekinDuck_T2T	GCF_047663525.1	GCA_047663525.1	Anas platyrhynchos	8839	Pekin duck				ZD024472	female	GCF_047663525.1-RS_2025_03	Complete Genome	2025-02-12	JBLNIF01	41
DVS_A1.0	GCA_022201045.1	GCF_022201045.2	Citrus sinensis	2711			Valencia sweet orange				Annotation submitted by Clemson University	Complete Genome	2022-02-11	JAHMIS01	9
DVS_A1.0	GCF_022201045.2	GCA_022201045.1	Citrus sinensis	2711			Valencia sweet orange				NCBI Citrus sinensis Annotation Release 103	Complete Genome	2022-02-11	JAHMIS01	9
ASM901741v1	GCA_009017415.1	GCF_009017415.1	Aspergillus flavus	5059		NRRL 3357					Annotation submitted by University of California, Berkeley	Complete Genome	2019-10-13		8
ASM901741v1	GCF_009017415.1	GCA_009017415.1	Aspergillus flavus	5059		NRRL 3357					Annotation submitted by University of California, Berkeley	Complete Genome	2019-10-13		8
ASM176148v1	GCA_001761485.1	GCF_001761485.1	Yarrowia lipolytica	4952		CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
ASM176148v1	GCF_001761485.1	GCA_001761485.1	Yarrowia lipolytica	4952		CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
ASM14353v4	GCA_000143535.4	GCF_000143535.2	Botrytis cinerea B05.10	332648		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
ASM14353v4	GCF_000143535.2	GCA_000143535.4	Botrytis cinerea B05.10	332648		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
ASM3175591v1	GCF_031755915.1	GCA_031755915.1	Ziziphus jujuba	326968			Dongzao				GCF_031755915.1-RS_2023_10	Complete Genome	2023-09-20		12
Kmar_1.0	GCA_001417885.1	GCF_001417885.1	Kluyveromyces marxianus DMKU3-1042	1003335		DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
Kmar_1.0	GCF_001417885.1	GCA_001417885.1	Kluyveromyces marxianus DMKU3-1042	1003335		DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
ASM1690653v1	GCA_016906535.1	GCF_016906535.1	Rhizoctonia solani	456999		AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
ASM1690653v1	GCF_016906535.1	GCA_016906535.1	Rhizoctonia solani	456999		AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
HydraT2T_AEP	GCF_038396675.1	GCA_038396675.1	Hydra vulgaris	6087							GCF_038396675.1-RS_2024_06	Complete Genome	2024-04-02		15
ASM272v2	GCA_000002725.2	GCF_000002725.2	Leishmania major strain Friedlin	347515		Friedlin					Annotation submitted by Friedlin Consortium	Complete Genome	2011-02-14		36
ASM272v2	GCF_000002725.2	GCA_000002725.2	Leishmania major strain Friedlin	347515		Friedlin					Annotation submitted by Friedlin Consortium	Complete Genome	2011-02-14		36
XTBG_Pame_1.0	GCA_051132755.1		Persea americana	3435			West Indian				Annotation submitted by Xishuangbanna Tropical Botanical Garden, CAS	Complete Genome	2025-06-28		12
ASM2064779v1	GCA_020647795.1	GCF_020647795.1	Trichoderma atroviride	63577		P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
ASM2064779v1	GCF_020647795.1	GCA_020647795.1	Trichoderma atroviride	63577		P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
ASM2064786v1	GCA_020647865.1	GCF_020647865.1	Trichoderma asperellum	101201		FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
ASM2064786v1	GCF_020647865.1	GCA_020647865.1	Trichoderma asperellum	101201		FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_900002385	GCA_900002385.2	GCF_900002385.2	Plasmodium yoelii	5861		17X					Annotation submitted by WTSI	Complete Genome	2019-06-04		14
GCA_900002385	GCF_900002385.2	GCA_900002385.2	Plasmodium yoelii	5861		17X					Annotation submitted by WTSI	Complete Genome	2019-06-04		14
ASM251v1	GCF_000002515.2	GCA_000002515.1	Kluyveromyces lactis	28985		NRRL Y-1140					Annotation submitted by Genolevures Consortium	Complete Genome	2004-07-02		6
ASM955685v1	GCA_009556855.1	GCF_009556855.1	Talaromyces marneffei	37727					11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
ASM955685v1	GCF_009556855.1	GCA_009556855.1	Talaromyces marneffei	37727					11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
ASM9120v1	GCA_000091205.1	GCF_000091205.1	Cyanidioschyzon merolae strain 10D	280699		10D					Annotation submitted by National Institute of Genetics, Japan	Complete Genome	2007-07-11		20
ASM9120v1	GCF_000091205.1	GCA_000091205.1	Cyanidioschyzon merolae strain 10D	280699		10D					Annotation submitted by National Institute of Genetics, Japan	Complete Genome	2007-07-11		20
PBN-43_hap1	GCA_049350635.1		Xanthoceras sorbifolium	99658					PBN-43		Annotation submitted by Peking University-Institute of Advanced Agricultural Science	Complete Genome	2025-04-08	JBMIRF01	15
ASM68747v2	GCA_000687475.2	GCF_000687475.1	Ustilaginoidea virens	1159556		UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
ASM68747v2	GCF_000687475.1	GCA_000687475.2	Ustilaginoidea virens	1159556		UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
Suva-ZP964	GCA_947243795.1		Saccharomyces uvarum	230603		ZP964					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
ASM3027215v1	GCA_030272155.1		Tetradesmus obliquus	3088		DOE0152z					Annotation submitted by Los Alamos National Laboratory	Complete Genome	2023-06-14		17
ASM2691418v1	GCA_026914185.1	GCF_026914185.1	Puccinia triticina	208348		Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
ASM2691418v1	GCF_026914185.1	GCA_026914185.1	Puccinia triticina	208348		Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
ASM1676781v1	GCA_016767815.1	GCF_016767815.1	Penicillium digitatum	36651		PdW03					Annotation submitted by Hangzhou Normal University	Complete Genome	2021-01-28		6
ASM1676781v1	GCF_016767815.1	GCA_016767815.1	Penicillium digitatum	36651		PdW03					Annotation submitted by Hangzhou Normal University	Complete Genome	2021-01-28		6
ASM22609v1	GCA_000226095.1	GCF_000226095.1	Thermothelomyces thermophilus ATCC 42464	573729		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
ASM22609v1	GCF_000226095.1	GCA_000226095.1	Thermothelomyces thermophilus ATCC 42464	573729		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
ULAVAL_Pb3A	GCA_036867785.1		Plasmodiophora brassicae	37360		3A					Annotation submitted by University Laval	Complete Genome	2024-02-25		20
AkawachiiIFO4308_assembly01	GCA_016861625.1	GCF_016861625.1	Aspergillus luchuensis	1069201		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
AkawachiiIFO4308_assembly01	GCF_016861625.1	GCA_016861625.1	Aspergillus luchuensis	1069201		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
ASM1841601v2	GCF_018416015.2	GCA_018416015.2	Coccidioides posadasii str. Silveira	443226		Silveira					Annotation submitted by Northern Arizona University	Complete Genome	2022-02-01		9
ASM4175387v1	GCA_041753875.1		Acanthopagrus schlegelii	72011					SG-2024	male	GCA_041753875.1-GB_2025_08_09	Complete Genome	2024-09-05	JBGQWW01	24
ASM5094771v1	GCA_050947715.1		Hanseniaspora uvarum	29833		AWRI5759_A6					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMWUE01	7
ASM1107488v2	GCA_011074885.2	GCF_011074885.1	Brettanomyces bruxellensis	5007		UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
ASM1107488v2	GCF_011074885.1	GCA_011074885.2	Brettanomyces bruxellensis	5007		UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
ASM329048v1	GCA_003290485.1	GCF_003290485.1	Malassezia restricta	76775		KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
ASM329048v1	GCF_003290485.1	GCA_003290485.1	Malassezia restricta	76775		KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
ASM3347349v1	GCA_033473495.1	GCF_033473495.1	Cercospora beticola	122368					Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
ASM3347349v1	GCF_033473495.1	GCA_033473495.1	Cercospora beticola	122368					Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
ASM3387043v1	GCA_033870435.1	GCF_033870435.1	Sordaria macrospora	5147		SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
ASM3387043v1	GCF_033870435.1	GCA_033870435.1	Sordaria macrospora	5147		SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
ASM83633v2	GCA_000836335.2	GCF_000836335.1	Cryptococcus bacillisporus CA1280	1296109		CA1280					Annotation submitted by Broad Institute	Complete Genome	2024-05-09		14
ASM83633v2	GCF_000836335.1	GCA_000836335.2	Cryptococcus bacillisporus CA1280	1296109		CA1280					Annotation submitted by Broad Institute	Complete Genome	2024-07-31		14
HcG217B_UCSF2	GCA_051312685.1		Histoplasma ohiense	2902605		G217B-UCSF2					Annotation submitted by University of California, San Francisco	Complete Genome	2025-07-14	JBNOKK01	7
ASM5110311v1	GCA_051103115.1		Cordyceps javanica	43265		Apopka 97					Annotation submitted by Swansea University	Complete Genome	2025-06-26		7
ASM5208450v1	GCA_052084505.1		Trichoderma asperelloides	702382		X01119					Annotation submitted by Nanjing Agricultural University	Complete Genome	2025-08-18	JBPWNV01	7
AchevalieriM1_assembly01	GCA_016861735.1	GCF_016861735.1	Aspergillus chevalieri	182096		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
AchevalieriM1_assembly01	GCF_016861735.1	GCA_016861735.1	Aspergillus chevalieri	182096		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
RkraJCM10450v2	GCA_051805505.1		Rhodotorula kratochvilovae	86836		JCM10450					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
Version 1	GCA_049487715.1		Pycnococcus provasolii	41880		CCMP1203					Annotation submitted by Universite Laval	Complete Genome	2025-04-11		45
ASM1695235v1	GCA_016952355.1		Fusarium culmorum	5516		Class2-1B					Annotation submitted by Chinese Academy of Forestry	Complete Genome	2020-11-16		4
ASM3818143v1	GCA_038181435.1		Fusarium acuminatum	5515					1A		Annotation submitted by Beijing Forestry University	Complete Genome	2024-04-15		11
ASM381444v1	GCA_003814445.1		Epichloe festucae Fl1	877507		Fl1					Annotation submitted by Massey University	Complete Genome	2018-11-23		7
ASM9102v4	GCA_000091025.4	GCF_000091025.4	Eremothecium gossypii ATCC 10895	284811		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
ASM9102v4	GCF_000091025.4	GCA_000091025.4	Eremothecium gossypii ATCC 10895	284811		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
ASM4501417v1	GCA_045014175.1		Kerria lacca	473130					LAC	female	Annotation submitted by Institute of Highland Forest Science, Chinese Academy of Forestry	Complete Genome	2024-11-18		9
ASM4877216v1	GCF_048772165.1	GCA_048772165.1	Typha angustifolia	59011			Huaian				GCF_048772165.1-RS_2025_04	Complete Genome	2025-03-21	JBLRDY01	15
OSU_Fsam_2.1	GCA_050947815.1		Fusarium sambucinum	5128					potato_lamoka		Annotation submitted by Oregon State University	Complete Genome	2025-06-17	JBNNPX01	4
DICA0.2	GCA_965286745.1		Diutina catenulata	45537							Annotation submitted by Genoscope CEA	Complete Genome	2025-10-11		6
ASM2687354v1	GCA_026873545.1	GCF_026873545.1	Fusarium falciforme	195108		Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
ASM2687354v1	GCF_026873545.1	GCA_026873545.1	Fusarium falciforme	195108		Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
ASM401169v2	GCA_004011695.2	GCF_004011695.2	Ascochyta rabiei	5454					Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
ASM401169v2	GCF_004011695.2	GCA_004011695.2	Ascochyta rabiei	5454					Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
Adeanei_nanopore_chromosomes	GCA_903995115.1		Angomonas deanei	59799		Crithidia deanei Carvalho (ATCC PRA-265)					Annotation submitted by York	Complete Genome	2020-08-21		29
