Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_036426115.1	ASM3642611v1	Kwoniella botswanensis	1268659		CBS 12716					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		3
GCF_036426115.1	ASM3642611v1	Kwoniella botswanensis	1268659		CBS 12716					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		3
GCA_001640025.2	ASM164002v2	Sugiyamaella lignohabitans	796027		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
GCF_001640025.1	ASM164002v2	Sugiyamaella lignohabitans	796027		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
GCA_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus	2545709		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
GCF_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus	2545709		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
GCA_029542845.1	ASM2954284v1	Malassezia nana	180528		CBS 9557					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542905.1	ASM2954290v1	Malassezia arunalokei	1514897		CBS 13387					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542785.1	ASM2954278v1	Malassezia japonica	223818		CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCF_029542785.1	ASM2954278v1	Malassezia japonica	223818		CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542925.1	ASM2954292v1	Malassezia vespertilionis	2020962		CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCF_029542925.1	ASM2954292v1	Malassezia vespertilionis	2020962		CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029449355.1	ASM2944935v1	Emydomyces testavorans	2070801		16-2883					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-28		5
GCA_042764415.1	Remth1	Remersonia thermophila	72144		ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
GCF_042764415.1	Remth1	Remersonia thermophila	72144		ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
GCA_000512585.3	ASM51258v3	Kwoniella bestiolae CBS 10118	1296100		CBS 10118					Annotation submitted by Broad Institute	Complete Genome	2024-02-14		8
GCF_000512585.2	ASM51258v3	Kwoniella bestiolae CBS 10118	1296100		CBS 10118					Annotation submitted by Broad Institute	Complete Genome	2024-06-21		8
GCA_001720195.2	ASM172019v2	Cryptococcus depauperatus CBS 7841	1295531		CBS 7841					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		8
GCF_001720195.1	ASM172019v2	Cryptococcus depauperatus CBS 7841	1295531		CBS 7841					Annotation submitted by Broad Institute	Complete Genome	2024-07-02		8
GCA_000512565.3	ASM51256v3	Kwoniella dejecticola CBS 10117	1296121		CBS 10117					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
GCF_000512565.2	ASM51256v3	Kwoniella dejecticola CBS 10117	1296121		CBS 10117					Annotation submitted by Broad Institute	Complete Genome	2024-06-24		11
GCA_035658355.1	ASM3565835v1	Kwoniella shivajii	564305					CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
GCF_035658355.1	ASM3565835v1	Kwoniella shivajii	564305					CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
GCA_036810415.1	ASM3681041v1	Kwoniella dendrophila CBS 6074	1295534		CBS 6074					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
GCF_036810415.1	ASM3681041v1	Kwoniella dendrophila CBS 6074	1295534		CBS 6074					Annotation submitted by Broad Institute	Complete Genome	2024-07-02		11
GCA_000512605.3	ASM51260v3	Kwoniella pini CBS 10737	1296096		CBS 10737					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
GCF_000512605.2	ASM51260v3	Kwoniella pini CBS 10737	1296096		CBS 10737					Annotation submitted by Broad Institute	Complete Genome	2024-12-07		11
GCA_008629635.2	ASM862963v2	Kwoniella shandongensis	1734106		CBS 12478					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		14
GCF_008629635.2	ASM862963v2	Kwoniella shandongensis	1734106		CBS 12478					Annotation submitted by Broad Institute	Complete Genome	2024-06-24		14
GCA_001548555.1	ASM154855v1	Eremothecium sinecaudum	45286		ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
GCF_001548555.1	ASM154855v1	Eremothecium sinecaudum	45286		ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
GCA_014133895.1	ASM1413389v1	Torulaspora globosa	48254		CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
GCF_014133895.1	ASM1413389v1	Torulaspora globosa	48254		CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
GCA_011074865.2	ASM1107486v2	Brettanomyces nanus	13502		CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
GCF_011074865.1	ASM1107486v2	Brettanomyces nanus	13502		CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
GCA_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola	279322		HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
GCF_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola	279322		HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
GCA_963989305.1	lodBeiA1	Lodderomyces beijingensis	1775926		CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
GCF_963989305.1	lodBeiA1	Lodderomyces beijingensis	1775926		CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
GCA_029542985.1	ASM2954298v1	Malassezia brasiliensis	1821822		CBS 14135					Annotation submitted by Duke University	Complete Genome	2023-04-03		7
GCA_051805555.1	RnylJCM10213v2	Rhodosporidiobolus nylandii	100910		JCM10213					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
GCA_029542945.1	ASM2954294v1	Malassezia obtusa	76774		CBS 7876					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542805.1	ASM2954280v1	Malassezia cuniculi	948313		CBS 11721					Annotation submitted by Duke University	Complete Genome	2023-04-03		6
GCA_029542765.1	ASM2954276v1	Malassezia psittaci	1821823		CBS 14136					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542965.1	ASM2954296v1	Malassezia yamatoensis	253288		CBS 9725					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542885.1	ASM2954288v1	Malassezia caprae	1381934		CBS 10434					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_051599415.1	Sav_pha_PYCC9005_v1	Savitreella phatthalungensis	3025216		PYCC_9005					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-19		27
GCA_000146045.2	R64	Saccharomyces cerevisiae S288C	559292		S288C					SGD R64-4-1	Complete Genome	2011-04-18		16
GCF_000146045.2	R64	Saccharomyces cerevisiae S288C	559292		S288C					SGD R64-5-1	Complete Genome	2014-12-17		16
GCF_049306965.1	GRCz12tu	Danio rerio	7955		Tuebingen		United States		male	GCF_049306965.1-RS_2025_04	Complete Genome	2025-04-04	JBMGRA01	25
GCF_034140825.1	AGIS1.0	Oryza sativa Japonica Group	39947							GCF_034140825.1-RS_2024_06	Complete Genome	2023-12-06		12
GCA_000002985.3	WBcel235	Caenorhabditis elegans	6239		Bristol N2					Annotation submitted by C. elegans Sequencing Consortium	Complete Genome	2013-02-07		6
GCF_000002985.6	WBcel235	Caenorhabditis elegans	6239		Bristol N2					WormBase WS297	Complete Genome	2013-02-07		6
GCF_000002765.6	GCA_000002765	Plasmodium falciparum 3D7	36329					3D7		Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium	Complete Genome	2016-04-07		14
GCA_030704535.1	ASM3070453v1	Vitis vinifera	29760			Pinot Noir 40024				Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences	Complete Genome	2023-08-09		19
GCF_030704535.1	ASM3070453v1	Vitis vinifera	29760			Pinot Noir 40024				GCF_030704535.1-RS_2023_09	Complete Genome	2023-08-09		19
GCF_037993035.2	T2T-MFA8v1.1	Macaca fascicularis	9541					582-1	female	GCF_037993035.2-RS_2025_03	Complete Genome	2024-09-18		22
GCF_042453785.1	GDT2T_hap1	Malus domestica	3750							GCF_042453785.1-RS_2024_12	Complete Genome	2024-09-27		17
GCA_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47	660027		Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
GCF_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47	660027		Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
GCF_047663525.1	IASCAAS_PekinDuck_T2T	Anas platyrhynchos	8839	Pekin duck				ZD024472	female	GCF_047663525.1-RS_2025_03	Complete Genome	2025-02-12	JBLNIF01	41
GCA_022201045.1	DVS_A1.0	Citrus sinensis	2711			Valencia sweet orange				Annotation submitted by Clemson University	Complete Genome	2022-02-11	JAHMIS01	9
GCF_022201045.2	DVS_A1.0	Citrus sinensis	2711			Valencia sweet orange				NCBI Citrus sinensis Annotation Release 103	Complete Genome	2022-02-11	JAHMIS01	9
GCA_009017415.1	ASM901741v1	Aspergillus flavus	5059		NRRL 3357					Annotation submitted by University of California, Berkeley	Complete Genome	2019-10-13		8
GCF_009017415.1	ASM901741v1	Aspergillus flavus	5059		NRRL 3357					Annotation submitted by University of California, Berkeley	Complete Genome	2019-10-13		8
GCA_001761485.1	ASM176148v1	Yarrowia lipolytica	4952		CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
GCF_001761485.1	ASM176148v1	Yarrowia lipolytica	4952		CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
GCA_000143535.4	ASM14353v4	Botrytis cinerea B05.10	332648		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
GCF_000143535.2	ASM14353v4	Botrytis cinerea B05.10	332648		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
GCF_031755915.1	ASM3175591v1	Ziziphus jujuba	326968			Dongzao				GCF_031755915.1-RS_2023_10	Complete Genome	2023-09-20		12
GCA_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	1003335		DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	1003335		DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
GCA_016906535.1	ASM1690653v1	Rhizoctonia solani	456999		AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
GCF_016906535.1	ASM1690653v1	Rhizoctonia solani	456999		AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
GCF_038396675.1	HydraT2T_AEP	Hydra vulgaris	6087							GCF_038396675.1-RS_2024_06	Complete Genome	2024-04-02		15
GCA_000002725.2	ASM272v2	Leishmania major strain Friedlin	347515		Friedlin					Annotation submitted by Friedlin Consortium	Complete Genome	2011-02-14		36
GCF_000002725.2	ASM272v2	Leishmania major strain Friedlin	347515		Friedlin					Annotation submitted by Friedlin Consortium	Complete Genome	2011-02-14		36
GCA_051132755.1	XTBG_Pame_1.0	Persea americana	3435			West Indian				Annotation submitted by Xishuangbanna Tropical Botanical Garden, CAS	Complete Genome	2025-06-28		12
GCA_020647865.1	ASM2064786v1	Trichoderma asperellum	101201		FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCF_020647865.1	ASM2064786v1	Trichoderma asperellum	101201		FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_020647795.1	ASM2064779v1	Trichoderma atroviride	63577		P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCF_020647795.1	ASM2064779v1	Trichoderma atroviride	63577		P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_900002385.2	GCA_900002385	Plasmodium yoelii	5861		17X					Annotation submitted by WTSI	Complete Genome	2019-06-04		14
GCF_900002385.2	GCA_900002385	Plasmodium yoelii	5861		17X					Annotation submitted by WTSI	Complete Genome	2019-06-04		14
GCF_000002515.2	ASM251v1	Kluyveromyces lactis	28985		NRRL Y-1140					Annotation submitted by Genolevures Consortium	Complete Genome	2004-07-02		6
GCA_009556855.1	ASM955685v1	Talaromyces marneffei	37727					11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
GCF_009556855.1	ASM955685v1	Talaromyces marneffei	37727					11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
GCA_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D	280699		10D					Annotation submitted by National Institute of Genetics, Japan	Complete Genome	2007-07-11		20
GCF_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D	280699		10D					Annotation submitted by National Institute of Genetics, Japan	Complete Genome	2007-07-11		20
GCA_049350635.1	PBN-43_hap1	Xanthoceras sorbifolium	99658					PBN-43		Annotation submitted by Peking University-Institute of Advanced Agricultural Science	Complete Genome	2025-04-08	JBMIRF01	15
GCA_000687475.2	ASM68747v2	Ustilaginoidea virens	1159556		UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
GCF_000687475.1	ASM68747v2	Ustilaginoidea virens	1159556		UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
GCA_947243795.1	Suva-ZP964	Saccharomyces uvarum	230603		ZP964					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
GCA_030272155.1	ASM3027215v1	Tetradesmus obliquus	3088		DOE0152z					Annotation submitted by Los Alamos National Laboratory	Complete Genome	2023-06-14		17
GCA_026914185.1	ASM2691418v1	Puccinia triticina	208348		Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
GCF_026914185.1	ASM2691418v1	Puccinia triticina	208348		Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
GCA_016767815.1	ASM1676781v1	Penicillium digitatum	36651		PdW03					Annotation submitted by Hangzhou Normal University	Complete Genome	2021-01-28		6
GCF_016767815.1	ASM1676781v1	Penicillium digitatum	36651		PdW03					Annotation submitted by Hangzhou Normal University	Complete Genome	2021-01-28		6
GCA_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	573729		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
GCF_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	573729		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
GCA_036867785.1	ULAVAL_Pb3A	Plasmodiophora brassicae	37360		3A					Annotation submitted by University Laval	Complete Genome	2024-02-25		20
GCA_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis	1069201		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis	1069201		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_018416015.2	ASM1841601v2	Coccidioides posadasii str. Silveira	443226		Silveira					Annotation submitted by Northern Arizona University	Complete Genome	2022-02-01		9
GCA_050947715.1	ASM5094771v1	Hanseniaspora uvarum	29833		AWRI5759_A6					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMWUE01	7
GCA_011074885.2	ASM1107488v2	Brettanomyces bruxellensis	5007		UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
GCF_011074885.1	ASM1107488v2	Brettanomyces bruxellensis	5007		UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
GCA_003290485.1	ASM329048v1	Malassezia restricta	76775		KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
GCF_003290485.1	ASM329048v1	Malassezia restricta	76775		KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
GCA_033473495.1	ASM3347349v1	Cercospora beticola	122368					Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
GCF_033473495.1	ASM3347349v1	Cercospora beticola	122368					Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
GCA_033870435.1	ASM3387043v1	Sordaria macrospora	5147		SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
GCF_033870435.1	ASM3387043v1	Sordaria macrospora	5147		SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
GCA_000836335.2	ASM83633v2	Cryptococcus bacillisporus CA1280	1296109		CA1280					Annotation submitted by Broad Institute	Complete Genome	2024-05-09		14
GCF_000836335.1	ASM83633v2	Cryptococcus bacillisporus CA1280	1296109		CA1280					Annotation submitted by Broad Institute	Complete Genome	2024-07-31		14
GCA_051312685.1	HcG217B_UCSF2	Histoplasma ohiense (nom. inval.)	2902605		G217B-UCSF2					Annotation submitted by University of California, San Francisco	Complete Genome	2025-07-14	JBNOKK01	7
GCA_051103115.1	ASM5110311v1	Cordyceps javanica	43265		Apopka 97					Annotation submitted by Swansea University	Complete Genome	2025-06-26		7
GCA_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri	182096		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri	182096		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_051805505.1	RkraJCM10450v2	Rhodotorula kratochvilovae	86836		JCM10450					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
GCA_049487715.1	Version 1	Pycnococcus provasolii	41880		CCMP1203					Annotation submitted by Universite Laval	Complete Genome	2025-04-11		45
GCA_038181435.1	ASM3818143v1	Fusarium acuminatum	5515					1A		Annotation submitted by Beijing Forestry University	Complete Genome	2024-04-15		11
GCA_003814445.1	ASM381444v1	Epichloe festucae Fl1	877507		Fl1					Annotation submitted by Massey University	Complete Genome	2018-11-23		7
GCA_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	284811		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
GCF_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	284811		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
GCA_045014175.1	ASM4501417v1	Kerria lacca	473130					LAC	female	Annotation submitted by Institute of Highland Forest Science, Chinese Academy of Forestry	Complete Genome	2024-11-18		9
GCF_048772165.1	ASM4877216v1	Typha angustifolia	59011			Huaian				GCF_048772165.1-RS_2025_04	Complete Genome	2025-03-21	JBLRDY01	15
GCA_050947815.1	OSU_Fsam_2.1	Fusarium sambucinum	5128					potato_lamoka		Annotation submitted by Oregon State University	Complete Genome	2025-06-17	JBNNPX01	4
GCA_052084505.1	ASM5208450v1	Trichoderma asperelloides	702382		X01119					Annotation submitted by Nanjing Agricultural University	Complete Genome	2025-08-18	JBPWNV01	7
GCA_004011695.2	ASM401169v2	Ascochyta rabiei	5454					Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
GCF_004011695.2	ASM401169v2	Ascochyta rabiei	5454					Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
GCA_051805495.1	RsphJCM8202v2	Rhodotorula sphaerocarpa	86839		JCM8202					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
GCA_903995115.1	Adeanei_nanopore_chromosomes	Angomonas deanei	59799		Crithidia deanei Carvalho (ATCC PRA-265)					Annotation submitted by York	Complete Genome	2020-08-21		29
GCA_016952355.1	ASM1695235v1	Fusarium culmorum	5516		Class2-1B					Annotation submitted by Chinese Academy of Forestry	Complete Genome	2020-11-16		4
GCA_013426205.1	ASM1342620v1	Metarhizium brunneum	500148		4556					Annotation submitted by Swansea University	Complete Genome	2020-07-20		7
GCF_013426205.1	ASM1342620v1	Metarhizium brunneum	500148		4556					Annotation submitted by Swansea University	Complete Genome	2020-07-20		7
GCA_000740895.1	ASM74089v1	Theileria orientalis strain Shintoku	869250		Shintoku					Annotation submitted by Research Center for Zoonosis Control, Hokkaido University	Chromosome	2012-09-05		4
GCF_000740895.1	ASM74089v1	Theileria orientalis strain Shintoku	869250		Shintoku					Annotation submitted by NCBI RefSeq	Chromosome	2012-09-05		4
GCA_034359265.1	ASM3435926v1	Canna indica	4628							Annotation submitted by Guizhou University	Complete Genome	2023-12-13		9
GCA_034447905.1	ASM3444790v1	Colletotrichum destructivum	34406		CBS 520.97					Annotation submitted by INRAE	Complete Genome	2023-12-18		12
GCF_034447905.1	ASM3444790v1	Colletotrichum destructivum	34406		CBS 520.97					Annotation submitted by INRAE	Complete Genome	2023-12-18		12
GCA_026184415.1	ASM2618441v1	Trichothecium roseum	47278		YXFP-22015					Annotation submitted by National Biopesticide Engineering Technology Research Centre, Hubei Academy of Agricultural Sciences	Complete Genome	2022-11-21	JAOAPZ01	11
GCA_026873545.1	ASM2687354v1	Fusarium falciforme	195108		Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
GCF_026873545.1	ASM2687354v1	Fusarium falciforme	195108		Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
GCA_050947685.1	ASM5094768v1	Hanseniaspora vineae	56409		AWRI5769_A2					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJG01	7
GCA_024970365.1	ASM2497036v1	Leishmania guyanensis	5670		M4147					Annotation submitted by University of Missouri	Complete Genome	2022-09-06		35
GCA_023205875.1	ASM2320587v1	Chloropicon primus	1764295		RCC138					Annotation submitted by Illinois Institute of Technology	Complete Genome	2022-05-02		20
GCA_964275055.1	MOSE0	Monosporozyma servazzii	27293							Annotation submitted by Genoscope	Complete Genome	2024-10-10		14
GCA_020509005.2	Cfulv_R5_v5	Fulvia fulva	5499		Race5_Kim					Annotation submitted by University of California	Complete Genome	2022-01-24		14
GCF_020509005.1	Cfulv_R5_v5	Fulvia fulva	5499		Race5_Kim					Annotation submitted by University of California	Complete Genome	2022-01-24		14
GCA_000755165.2	ASM75516v2	Leishmania panamensis	5679		MHOM/PA/94/PSC-1					Annotation submitted by INDICASAT-AIP	Complete Genome	2025-06-09		35
GCA_041154625.1	CerSpe_IZO01_v1.0	Prunus speciosa	378228					IZO01		Annotation submitted by National Institute of Genetics	Complete Genome	2024-06-23		8
GCA_050084535.1	PCAv2.0	Prunus campanulata	136465			Lianmeiren				Annotation submitted by Zhejiang Academy of Forestry	Complete Genome	2025-05-01	JBKKFS01	8
GCF_032362555.1	ilAmyTran1.1	Amyelois transitella	680683					CPQ	female	GCF_032362555.1-RS_2023_11	Complete Genome	2023-10-04	JAMBPN01	32
GCA_023278565.1	ASM2327856v1	Colletotrichum lupini	145971		IMI 504893					Annotation submitted by University of Western Brittany	Complete Genome	2022-05-09		11
GCF_023278565.1	ASM2327856v1	Colletotrichum lupini	145971		IMI 504893					Annotation submitted by University of Western Brittany	Complete Genome	2022-05-09		11
GCA_023920165.1	ASM2392016v1	Curvularia clavata	95742		yc1106					Annotation submitted by Guizhou Academy of Tobacco Science	Complete Genome	2022-06-27		8
GCA_023101225.1	ASM2310122v1	Fusarium solani-melongenae	2747967		CRI 24-3					Annotation submitted by Guangdong Academy of Agricultural Sciences	Complete Genome	2022-04-25		12
