"","hit_id","query_id","hit_eval","hit_bitscore","hit_description"
"154","XP_001459707.1","Mass_AKT_Aligned",2.9e-20,80.2,"uncharacterized protein GSPATT00025044"
"155","XP_001426034.1","Mass_AKT_Aligned",5.4e-20,79.3,"uncharacterized protein GSPATT00005009"
"156","XP_001434510.1","Mass_AKT_Aligned",7.3e-20,78.8,"uncharacterized protein GSPATT00036247"
"157","XP_001446627.1","Mass_AKT_Aligned",2.5e-19,77.1,"uncharacterized protein GSPATT00014197"
"158","XP_001435420.1","Mass_AKT_Aligned",5.1e-19,76.1,"uncharacterized protein GSPATT00036806"
"159","XP_001438054.1","Mass_AKT_Aligned",6.2e-19,75.8,"uncharacterized protein GSPATT00007792"
"160","XP_001450089.1","Mass_AKT_Aligned",1.8e-18,74.2,"uncharacterized protein GSPATT00017063"
"161","XP_001436254.1","Mass_AKT_Aligned",2.5e-18,73.8,"uncharacterized protein GSPATT00007068"
"162","XP_001452357.1","Mass_AKT_Aligned",5.1e-18,72.7,"uncharacterized protein GSPATT00019142"
"163","XP_001437951.1","Mass_AKT_Aligned",5.7e-18,72.6,"uncharacterized protein GSPATT00007689"
"164","XP_001456891.1","Mass_AKT_Aligned",1.1e-17,71.6,"uncharacterized protein GSPATT00022666"
"165","XP_001453674.1","Mass_AKT_Aligned",1.3e-17,71.4,"uncharacterized protein GSPATT00019970"
"166","XP_001443892.1","Mass_AKT_Aligned",1.4e-17,71.2,"uncharacterized protein GSPATT00012047"
"167","XP_001424041.1","Mass_AKT_Aligned",4.3e-16,66.3,"uncharacterized protein GSPATT00027672"
"168","XP_001453666.1","Mass_AKT_Aligned",5.6e-16,65.9,"uncharacterized protein GSPATT00019962"
"169","XP_001456524.1","Mass_AKT_Aligned",8.2e-16,65.4,"uncharacterized protein GSPATT00022296"
"170","XP_001440782.1","Mass_AKT_Aligned",1.8e-15,64.3,"uncharacterized protein GSPATT00009700"
"171","XP_001455189.1","Mass_AKT_Aligned",2.6e-15,63.7,"uncharacterized protein GSPATT00021416"
"172","XP_001460539.1","Mass_AKT_Aligned",3.5e-15,63.3,"uncharacterized protein GSPATT00004011"
"173","XP_001441122.1","Mass_AKT_Aligned",4.2e-15,63,"uncharacterized protein GSPATT00009997"
"174","XP_001428864.1","Mass_AKT_Aligned",4.2e-15,63,"uncharacterized protein GSPATT00031698"
"175","XP_001431377.1","Mass_AKT_Aligned",5.7e-15,62.6,"uncharacterized protein GSPATT00033832"
"176","XP_001443796.1","Mass_AKT_Aligned",5.7e-15,62.6,"uncharacterized protein GSPATT00039147"
"177","XP_001444843.1","Mass_AKT_Aligned",6.8e-15,62.3,"uncharacterized protein GSPATT00012931"
"178","XP_001429990.1","Mass_AKT_Aligned",1.4e-14,61.3,"uncharacterized protein GSPATT00032444"
"179","XP_001424776.1","Mass_AKT_Aligned",1.5e-14,61.2,"uncharacterized protein GSPATT00028413"
"180","XP_001450218.1","Mass_AKT_Aligned",2.1e-14,60.7,"uncharacterized protein GSPATT00017193"
"181","XP_001431309.1","Mass_AKT_Aligned",2.2e-14,60.7,"uncharacterized protein GSPATT00033764"
"182","XP_001440561.1","Mass_AKT_Aligned",2.7e-14,60.4,"uncharacterized protein GSPATT00009512"
"183","XP_001433283.1","Mass_AKT_Aligned",3.3e-14,60.1,"uncharacterized protein GSPATT00006385"
"184","XP_001449616.1","Mass_AKT_Aligned",4.4e-14,59.6,"uncharacterized protein GSPATT00002348"
"185","XP_001460807.1","Mass_AKT_Aligned",9.8e-14,58.5,"uncharacterized protein GSPATT00025754"
"186","XP_001424223.1","Mass_AKT_Aligned",1.8e-13,57.6,"uncharacterized protein GSPATT00027857"
"187","XP_001429090.1","Mass_AKT_Aligned",2.8e-13,57,"uncharacterized protein GSPATT00031924"
"188","XP_001430252.1","Mass_AKT_Aligned",1e-12,55.1,"uncharacterized protein GSPATT00032706"
"189","XP_001437961.1","Mass_AKT_Aligned",1.1e-12,55,"uncharacterized protein GSPATT00007699"
"190","XP_001449182.1","Mass_AKT_Aligned",1.3e-12,54.8,"uncharacterized protein GSPATT00016598"
"191","XP_001439415.1","Mass_AKT_Aligned",2.6e-12,53.7,"uncharacterized protein GSPATT00008497"
"192","XP_001434901.1","Mass_AKT_Aligned",4e-12,53.1,"uncharacterized protein GSPATT00006810"
"193","XP_001427431.1","Mass_AKT_Aligned",8.3e-12,52.1,"uncharacterized protein GSPATT00030671"
"194","XP_001457433.1","Mass_AKT_Aligned",2e-11,50.8,"uncharacterized protein GSPATT00023209"
"195","XP_001452478.1","Mass_AKT_Aligned",2.1e-11,50.8,"uncharacterized protein GSPATT00002480"
"196","XP_001452166.1","Mass_AKT_Aligned",2.7e-11,50.4,"uncharacterized protein GSPATT00018965"
"197","XP_001458267.1","Mass_AKT_Aligned",3.2e-11,50.1,"uncharacterized protein GSPATT00003735"
"198","XP_001447801.1","Mass_AKT_Aligned",5.3e-11,49.4,"uncharacterized protein GSPATT00015299"
"199","XP_001457231.1","Mass_AKT_Aligned",6e-11,49.2,"uncharacterized protein GSPATT00023007"
"200","XP_001455504.1","Mass_AKT_Aligned",8.4e-11,48.7,"uncharacterized protein GSPATT00003075"
"201","XP_001453851.1","Mass_AKT_Aligned",3.9e-10,46.5,"uncharacterized protein GSPATT00020136"
"202","XP_001462251.1","Mass_AKT_Aligned",9.3e-10,45.3,"uncharacterized protein GSPATT00027205"
"203","XP_001437353.1","Mass_AKT_Aligned",1.4e-09,44.6,"uncharacterized protein GSPATT00007396"
"204","XP_001456591.1","Mass_AKT_Aligned",1.5e-09,44.6,"uncharacterized protein GSPATT00022364"
"205","XP_001442785.1","Mass_AKT_Aligned",2.1e-09,44.1,"uncharacterized protein GSPATT00001592"
"206","XP_001450888.1","Mass_AKT_Aligned",2.8e-09,43.7,"uncharacterized protein GSPATT00017820"
"207","XP_001445195.1","Mass_AKT_Aligned",3e-09,43.6,"uncharacterized protein GSPATT00013263"
"208","XP_001430750.1","Mass_AKT_Aligned",7.4e-09,42.3,"uncharacterized protein GSPATT00033205"
"209","XP_001461099.1","Mass_AKT_Aligned",1.1e-08,41.7,"uncharacterized protein GSPATT00026048"
"210","XP_001438370.1","Mass_AKT_Aligned",2e-08,40.8,"uncharacterized protein GSPATT00000685"
"211","XP_001445895.1","Mass_AKT_Aligned",2.3e-08,40.6,"uncharacterized protein GSPATT00013928"
"212","XP_001461281.1","Mass_AKT_Aligned",3.5e-08,40,"uncharacterized protein GSPATT00026231"
"213","XP_001454404.1","Mass_AKT_Aligned",8e-08,38.9,"uncharacterized protein GSPATT00020671"
"214","XP_001457760.1","Mass_AKT_Aligned",1.3e-07,38.1,"uncharacterized protein GSPATT00023540"
"215","XP_001423397.1","Mass_AKT_Aligned",1.4e-07,38,"uncharacterized protein GSPATT00000434"
"216","XP_001453592.1","Mass_AKT_Aligned",1.6e-07,37.8,"uncharacterized protein GSPATT00019888"
"217","XP_001430554.1","Mass_AKT_Aligned",2.5e-07,37.2,"uncharacterized protein GSPATT00033009"
"218","XP_001440463.1","Mass_AKT_Aligned",2.9e-07,37,"uncharacterized protein GSPATT00009414"
"219","XP_001433541.1","Mass_AKT_Aligned",4.8e-07,36.3,"uncharacterized protein GSPATT00035273"
"220","XP_001436281.1","Mass_AKT_Aligned",8.4e-07,35.5,"uncharacterized protein GSPATT00007095"
"221","XP_001423153.1","Mass_AKT_Aligned",1.1e-06,35.1,"uncharacterized protein GSPATT00000190"
"222","XP_001433276.1","Mass_AKT_Aligned",1.2e-06,34.9,"uncharacterized protein GSPATT00006378"
"223","XP_001425367.1","Mass_AKT_Aligned",1.5e-06,34.6,"uncharacterized protein GSPATT00029004"
"224","XP_001453772.1","Mass_AKT_Aligned",2.7e-06,33.8,"uncharacterized protein GSPATT00020056"
"225","XP_001459165.1","Mass_AKT_Aligned",4.1e-06,33.2,"uncharacterized protein GSPATT00024499"
"226","XP_001434412.1","Mass_AKT_Aligned",6.6e-06,32.5,"uncharacterized protein GSPATT00036146"
"227","XP_001456175.1","Mass_AKT_Aligned",9.8e-06,31.9,"uncharacterized protein GSPATT00021946"
"228","XP_001429688.1","Mass_AKT_Aligned",1.2e-05,31.6,"uncharacterized protein GSPATT00005536"
"229","XP_001458878.1","Mass_AKT_Aligned",2.7e-05,30.4,"uncharacterized protein GSPATT00024209"
"230","XP_001431714.1","Mass_AKT_Aligned",2.9e-05,30.3,"uncharacterized protein GSPATT00006169"
"231","XP_001425558.1","Mass_AKT_Aligned",3.2e-05,30.2,"uncharacterized protein GSPATT00029196"
"232","XP_001423716.1","Mass_AKT_Aligned",6.1e-05,29.3,"uncharacterized protein GSPATT00004412"
"233","XP_001448342.1","Mass_AKT_Aligned",7.5e-05,29,"uncharacterized protein GSPATT00015804"
"234","XP_001450076.1","Mass_AKT_Aligned",7.5e-05,29,"uncharacterized protein GSPATT00017050"
"235","XP_001445865.1","Mass_AKT_Aligned",7.7e-05,28.9,"uncharacterized protein GSPATT00013898"
"236","XP_001452320.1","Mass_AKT_Aligned",0.00012,28.3,"uncharacterized protein GSPATT00019105"
"237","XP_001447038.1","Mass_AKT_Aligned",0.00015,28,"uncharacterized protein GSPATT00014571"
"238","XP_001442526.1","Mass_AKT_Aligned",0.00016,27.8,"uncharacterized protein GSPATT00001332"
"239","XP_001440551.1","Mass_AKT_Aligned",0.00039,26.6,"uncharacterized protein GSPATT00009502"
"240","XP_001451207.1","Mass_AKT_Aligned",0.00048,26.3,"uncharacterized protein GSPATT00018127"
"241","XP_001460588.1","Mass_AKT_Aligned",0.00095,25.3,"uncharacterized protein GSPATT00004060"
"242","XP_001439381.1","Mass_AKT_Aligned",0.00096,25.3,"uncharacterized protein GSPATT00008463"
"243","XP_001445859.1","Mass_AKT_Aligned",0.00096,25.3,"uncharacterized protein GSPATT00013892"
"244","XP_001427744.1","Mass_AKT_Aligned",0.0013,24.9,"uncharacterized protein GSPATT00005095"
"245","XP_001424163.1","Mass_AKT_Aligned",0.0018,24.4,"uncharacterized protein GSPATT00027796"
"246","XP_001441169.1","Mass_AKT_Aligned",0.0018,24.4,"uncharacterized protein GSPATT00010044"
"247","XP_001438618.1","Mass_AKT_Aligned",0.002,24.2,"uncharacterized protein GSPATT00000934"
"248","XP_001438999.1","Mass_AKT_Aligned",0.0021,24.2,"uncharacterized protein GSPATT00008150"
"249","XP_001451442.1","Mass_AKT_Aligned",0.0027,23.8,"uncharacterized protein GSPATT00018263"
"250","XP_001428148.1","Mass_AKT_Aligned",0.0028,23.8,"uncharacterized protein GSPATT00030979"
"251","XP_001456356.1","Mass_AKT_Aligned",0.0032,23.5,"uncharacterized protein GSPATT00022128"
"252","XP_001425790.1","Mass_AKT_Aligned",0.0055,22.8,"uncharacterized protein GSPATT00004764"
"253","XP_001447803.1","Mass_AKT_Aligned",0.0059,22.7,"uncharacterized protein GSPATT00015301"
"254","XP_001450933.1","Mass_AKT_Aligned",0.006,22.6,"uncharacterized protein GSPATT00017866"
"255","XP_001443649.1","Mass_AKT_Aligned",0.0092,22,"uncharacterized protein GSPATT00011825"
