,query_id,hit_id,hit_eval,hit_bitscore,hit_description
24,Mass_AKT_Aligned,XP_001442463.1,1.7e-72,253.7,uncharacterized protein GSPATT00001268
25,Mass_AKT_Aligned,XP_001443168.1,2.8e-72,253.0,uncharacterized protein GSPATT00011371
26,Mass_AKT_Aligned,XP_001431227.1,7.2e-72,251.6,uncharacterized protein GSPATT00033682
27,Mass_AKT_Aligned,XP_001426212.1,2.1e-71,250.0,uncharacterized protein GSPATT00029443
28,Mass_AKT_Aligned,XP_001438765.1,2.8e-71,249.7,uncharacterized protein GSPATT00001082
29,Mass_AKT_Aligned,XP_001433856.1,1.5e-70,247.2,uncharacterized protein GSPATT00035588
30,Mass_AKT_Aligned,XP_001437941.1,2.5e-70,246.5,uncharacterized protein GSPATT00007679
31,Mass_AKT_Aligned,XP_001455284.1,3e-70,246.2,uncharacterized protein GSPATT00021511
32,Mass_AKT_Aligned,XP_001456997.1,3.8e-70,245.9,uncharacterized protein GSPATT00022772
33,Mass_AKT_Aligned,XP_001454236.1,8.3e-70,244.8,uncharacterized protein GSPATT00020501
34,Mass_AKT_Aligned,XP_001441008.1,1.2e-69,244.2,uncharacterized protein GSPATT00009883
35,Mass_AKT_Aligned,XP_001442059.1,1.3e-69,244.1,uncharacterized protein GSPATT00010830
36,Mass_AKT_Aligned,XP_001424500.1,1.4e-69,244.0,uncharacterized protein GSPATT00028137
37,Mass_AKT_Aligned,XP_001439848.1,1.6e-69,243.8,uncharacterized protein GSPATT00008893
38,Mass_AKT_Aligned,XP_001446772.1,2.4e-69,243.2,uncharacterized protein GSPATT00014321
39,Mass_AKT_Aligned,XP_001426498.1,3.1e-69,242.9,uncharacterized protein GSPATT00029731
40,Mass_AKT_Aligned,XP_001429186.1,3.8e-69,242.6,uncharacterized protein GSPATT00032020
41,Mass_AKT_Aligned,XP_001437129.1,5.5e-69,242.0,uncharacterized protein GSPATT00038175
42,Mass_AKT_Aligned,XP_001433089.1,8.1e-69,241.5,uncharacterized protein GSPATT00035172
43,Mass_AKT_Aligned,XP_001423153.1,1.1e-68,241.0,uncharacterized protein GSPATT00000190
44,Mass_AKT_Aligned,XP_001460411.1,1.3e-68,240.8,uncharacterized protein GSPATT00003883
45,Mass_AKT_Aligned,XP_001454992.1,7.1e-68,238.3,uncharacterized protein GSPATT00021227
46,Mass_AKT_Aligned,XP_001434202.1,3e-67,236.3,uncharacterized protein GSPATT00035935
47,Mass_AKT_Aligned,XP_001428156.1,1.1e-66,234.4,uncharacterized protein GSPATT00030987
48,Mass_AKT_Aligned,XP_001431467.1,1.1e-66,234.4,uncharacterized protein GSPATT00005921
49,Mass_AKT_Aligned,XP_001445865.1,1.3e-66,234.1,uncharacterized protein GSPATT00013898
50,Mass_AKT_Aligned,XP_001425565.1,1.4e-66,234.0,uncharacterized protein GSPATT00029203
51,Mass_AKT_Aligned,XP_001462399.1,2.4e-66,233.3,uncharacterized protein GSPATT00027355
52,Mass_AKT_Aligned,XP_001456524.1,3.8e-66,232.6,uncharacterized protein GSPATT00022296
53,Mass_AKT_Aligned,XP_001438999.1,6.4e-66,231.8,uncharacterized protein GSPATT00008150
54,Mass_AKT_Aligned,XP_001426615.1,1.4e-65,230.7,uncharacterized protein GSPATT00029848
55,Mass_AKT_Aligned,XP_001443649.1,2.4e-65,229.9,uncharacterized protein GSPATT00011825
56,Mass_AKT_Aligned,XP_001426136.1,3e-65,229.6,uncharacterized protein GSPATT00029366
57,Mass_AKT_Aligned,XP_001425164.1,3.2e-65,229.5,uncharacterized protein GSPATT00028801
58,Mass_AKT_Aligned,XP_001455776.1,2.1e-64,226.8,uncharacterized protein GSPATT00003348
59,Mass_AKT_Aligned,XP_001450390.1,2.4e-64,226.6,uncharacterized protein GSPATT00017350
60,Mass_AKT_Aligned,XP_001433420.1,2.6e-64,226.5,uncharacterized protein GSPATT00006522
61,Mass_AKT_Aligned,XP_001462149.1,2.9e-64,226.3,uncharacterized protein GSPATT00027100
62,Mass_AKT_Aligned,XP_001426034.1,4.9e-64,225.6,uncharacterized protein GSPATT00005009
63,Mass_AKT_Aligned,XP_001430710.1,5e-64,225.6,uncharacterized protein GSPATT00033165
64,Mass_AKT_Aligned,XP_001427766.1,5.5e-64,225.4,uncharacterized protein GSPATT00005117
65,Mass_AKT_Aligned,XP_001435568.1,7.5e-64,225.0,uncharacterized protein GSPATT00036954
66,Mass_AKT_Aligned,XP_001455942.1,8.4e-64,224.8,uncharacterized protein GSPATT00021713
67,Mass_AKT_Aligned,XP_001436903.1,9.4e-64,224.6,uncharacterized protein GSPATT00037945
68,Mass_AKT_Aligned,XP_001441505.1,9.6e-64,224.6,uncharacterized protein GSPATT00010342
69,Mass_AKT_Aligned,XP_001453051.1,1.6e-63,223.9,uncharacterized protein GSPATT00019371
70,Mass_AKT_Aligned,XP_001428222.1,4e-63,222.6,uncharacterized protein GSPATT00031053
71,Mass_AKT_Aligned,XP_001450629.1,6.1e-63,222.0,uncharacterized protein GSPATT00017576
72,Mass_AKT_Aligned,XP_001457615.1,1.1e-62,221.1,uncharacterized protein GSPATT00023393
73,Mass_AKT_Aligned,XP_001426930.1,1.5e-62,220.7,uncharacterized protein GSPATT00030166
74,Mass_AKT_Aligned,XP_001430944.1,2e-62,220.2,uncharacterized protein GSPATT00033399
75,Mass_AKT_Aligned,XP_001426676.1,5.8e-62,218.7,uncharacterized protein GSPATT00029909
76,Mass_AKT_Aligned,XP_001437951.1,1.3e-61,217.5,uncharacterized protein GSPATT00007689
77,Mass_AKT_Aligned,XP_001455977.1,1.8e-61,217.1,uncharacterized protein GSPATT00021748
78,Mass_AKT_Aligned,XP_001455930.1,2.2e-61,216.8,uncharacterized protein GSPATT00021701
79,Mass_AKT_Aligned,XP_001427505.1,3.8e-61,216.0,uncharacterized protein GSPATT00030745
80,Mass_AKT_Aligned,XP_001461359.1,7.5e-61,215.0,uncharacterized protein GSPATT00026309
81,Mass_AKT_Aligned,XP_001427465.1,1.1e-60,214.4,uncharacterized protein GSPATT00030705
82,Mass_AKT_Aligned,XP_001437353.1,2.5e-60,213.3,uncharacterized protein GSPATT00007396
83,Mass_AKT_Aligned,XP_001433276.1,3.4e-60,212.8,uncharacterized protein GSPATT00006378
84,Mass_AKT_Aligned,XP_001426240.1,4.2e-60,212.5,uncharacterized protein GSPATT00029472
85,Mass_AKT_Aligned,XP_001453772.1,5.3e-60,212.2,uncharacterized protein GSPATT00020056
86,Mass_AKT_Aligned,XP_001457605.1,5.4e-60,212.2,uncharacterized protein GSPATT00023383
87,Mass_AKT_Aligned,XP_001447803.1,6.4e-60,211.9,uncharacterized protein GSPATT00015301
88,Mass_AKT_Aligned,XP_001459025.1,9.7e-60,211.3,uncharacterized protein GSPATT00024357
89,Mass_AKT_Aligned,XP_001461324.1,4.5e-59,209.1,uncharacterized protein GSPATT00026274
90,Mass_AKT_Aligned,XP_001459454.1,1.2e-58,207.7,uncharacterized protein GSPATT00024788
91,Mass_AKT_Aligned,XP_001432136.1,1.6e-58,207.2,uncharacterized protein GSPATT00034216
92,Mass_AKT_Aligned,XP_001437858.1,1.8e-58,207.1,uncharacterized protein GSPATT00038565
93,Mass_AKT_Aligned,XP_001459917.1,2.6e-58,206.6,uncharacterized protein GSPATT00025254
94,Mass_AKT_Aligned,XP_001454476.1,3.6e-58,206.1,uncharacterized protein GSPATT00020732
95,Mass_AKT_Aligned,XP_001440007.1,8.8e-58,204.8,uncharacterized protein GSPATT00009001
96,Mass_AKT_Aligned,XP_001447452.1,2.1e-56,200.2,uncharacterized protein GSPATT00014962
97,Mass_AKT_Aligned,XP_001440551.1,3.6e-56,199.5,uncharacterized protein GSPATT00009502
98,Mass_AKT_Aligned,XP_001453666.1,3.9e-56,199.3,uncharacterized protein GSPATT00019962
99,Mass_AKT_Aligned,XP_001439381.1,5.6e-56,198.8,uncharacterized protein GSPATT00008463
100,Mass_AKT_Aligned,XP_001435767.1,1.1e-55,197.8,uncharacterized protein GSPATT00037154
101,Mass_AKT_Aligned,XP_001424163.1,2.7e-55,196.5,uncharacterized protein GSPATT00027796
102,Mass_AKT_Aligned,XP_001455855.1,2.9e-55,196.4,uncharacterized protein GSPATT00021625
103,Mass_AKT_Aligned,XP_001443892.1,3.7e-55,196.1,uncharacterized protein GSPATT00012047
104,Mass_AKT_Aligned,XP_001452478.1,8.6e-55,194.9,uncharacterized protein GSPATT00002480
105,Mass_AKT_Aligned,XP_001457534.1,1.2e-54,194.4,uncharacterized protein GSPATT00023311
106,Mass_AKT_Aligned,XP_001451442.1,2.6e-54,193.3,uncharacterized protein GSPATT00018263
107,Mass_AKT_Aligned,XP_001423818.1,1.3e-53,190.9,uncharacterized protein GSPATT00004514
108,Mass_AKT_Aligned,XP_001423522.1,2.7e-53,189.9,uncharacterized protein GSPATT00000560
109,Mass_AKT_Aligned,XP_001448484.1,6.9e-53,188.6,uncharacterized protein GSPATT00015946
110,Mass_AKT_Aligned,XP_001452432.1,1.1e-52,187.9,uncharacterized protein GSPATT00019217
111,Mass_AKT_Aligned,XP_001442785.1,1.6e-52,187.3,uncharacterized protein GSPATT00001592
112,Mass_AKT_Aligned,XP_001432872.1,4.2e-52,185.9,uncharacterized protein GSPATT00034954
113,Mass_AKT_Aligned,XP_001444245.1,4.8e-52,185.7,uncharacterized protein GSPATT00012372
114,Mass_AKT_Aligned,XP_001448967.1,6.4e-52,185.3,uncharacterized protein GSPATT00016396
115,Mass_AKT_Aligned,XP_001428315.1,1.5e-51,184.1,uncharacterized protein GSPATT00031146
116,Mass_AKT_Aligned,XP_001438983.1,1.6e-51,184.0,uncharacterized protein GSPATT00008134
117,Mass_AKT_Aligned,XP_001460680.1,2.8e-51,183.2,uncharacterized protein GSPATT00004152
118,Mass_AKT_Aligned,XP_001462268.1,2.8e-51,183.2,uncharacterized protein GSPATT00027222
119,Mass_AKT_Aligned,XP_001454389.1,3e-51,183.1,uncharacterized protein GSPATT00020656
120,Mass_AKT_Aligned,XP_001458036.1,4.2e-51,182.6,uncharacterized protein GSPATT00003501
121,Mass_AKT_Aligned,XP_001435779.1,5.3e-51,182.3,uncharacterized protein GSPATT00037166
122,Mass_AKT_Aligned,XP_001441197.1,5.4e-51,182.3,uncharacterized protein GSPATT00010072
123,Mass_AKT_Aligned,XP_001448563.1,6.8e-51,181.9,uncharacterized protein GSPATT00016007
124,Mass_AKT_Aligned,XP_001426490.1,9.9e-51,181.4,uncharacterized protein GSPATT00029723
125,Mass_AKT_Aligned,XP_001460623.1,1e-50,181.3,uncharacterized protein GSPATT00004095
126,Mass_AKT_Aligned,XP_001427414.1,1.3e-50,180.9,uncharacterized protein GSPATT00030654
127,Mass_AKT_Aligned,XP_001448631.1,2.1e-50,180.3,uncharacterized protein GSPATT00016075
128,Mass_AKT_Aligned,XP_001433934.1,3.3e-50,179.7,uncharacterized protein GSPATT00035666
129,Mass_AKT_Aligned,XP_001459091.1,5.3e-50,179.0,uncharacterized protein GSPATT00024424
130,Mass_AKT_Aligned,XP_001440613.1,5.3e-50,179.0,uncharacterized protein GSPATT00038872
131,Mass_AKT_Aligned,XP_001423123.1,6.5e-50,178.7,uncharacterized protein GSPATT00000160
132,Mass_AKT_Aligned,XP_001434781.1,1.1e-49,178.0,uncharacterized protein GSPATT00006690
133,Mass_AKT_Aligned,XP_001461434.1,2.4e-49,176.8,uncharacterized protein GSPATT00026384
134,Mass_AKT_Aligned,XP_001441828.1,4.1e-49,176.0,uncharacterized protein GSPATT00010631
135,Mass_AKT_Aligned,XP_001456271.1,1.6e-48,174.0,uncharacterized protein GSPATT00022042
136,Mass_AKT_Aligned,XP_001450839.1,2.5e-48,173.4,uncharacterized protein GSPATT00017771
137,Mass_AKT_Aligned,XP_001442803.1,3e-48,173.2,uncharacterized protein GSPATT00001610
138,Mass_AKT_Aligned,XP_001443640.1,5.1e-48,172.4,uncharacterized protein GSPATT00011816
139,Mass_AKT_Aligned,XP_001459310.1,5.9e-48,172.2,uncharacterized protein GSPATT00024644
140,Mass_AKT_Aligned,XP_001427286.1,6e-48,172.1,uncharacterized protein GSPATT00030525
141,Mass_AKT_Aligned,XP_001429763.1,6.7e-48,172.0,uncharacterized protein GSPATT00005611
142,Mass_AKT_Aligned,XP_001462550.1,6.7e-48,172.0,uncharacterized protein GSPATT00027506
143,Mass_AKT_Aligned,XP_001426480.1,8.4e-48,171.6,uncharacterized protein GSPATT00029713
144,Mass_AKT_Aligned,XP_001446627.1,8.9e-48,171.6,uncharacterized protein GSPATT00014197
145,Mass_AKT_Aligned,XP_001433533.1,8.9e-48,171.6,uncharacterized protein GSPATT00035265
146,Mass_AKT_Aligned,XP_001453282.1,9.3e-48,171.5,uncharacterized protein GSPATT00019589
147,Mass_AKT_Aligned,XP_001437415.1,1e-47,171.4,uncharacterized protein GSPATT00007458
148,Mass_AKT_Aligned,XP_001442233.1,1.7e-47,170.7,uncharacterized protein GSPATT00011004
149,Mass_AKT_Aligned,XP_001459666.1,1.9e-47,170.4,uncharacterized protein GSPATT00025001
150,Mass_AKT_Aligned,XP_001447759.1,2.1e-47,170.3,uncharacterized protein GSPATT00015257
151,Mass_AKT_Aligned,XP_001440830.1,3e-47,169.8,uncharacterized protein GSPATT00009748
152,Mass_AKT_Aligned,XP_001441245.1,1.2e-46,167.8,uncharacterized protein GSPATT00010120
153,Mass_AKT_Aligned,XP_001455596.1,2.7e-46,166.6,uncharacterized protein GSPATT00003167
154,Mass_AKT_Aligned,XP_001423625.1,3e-46,166.5,uncharacterized protein GSPATT00004321
155,Mass_AKT_Aligned,XP_001444843.1,3.4e-46,166.3,uncharacterized protein GSPATT00012931
156,Mass_AKT_Aligned,XP_001442536.1,3.9e-46,166.1,uncharacterized protein GSPATT00001342
157,Mass_AKT_Aligned,XP_001458943.1,6.5e-46,165.4,uncharacterized protein GSPATT00024274
158,Mass_AKT_Aligned,XP_001450089.1,7.7e-46,165.1,uncharacterized protein GSPATT00017063
159,Mass_AKT_Aligned,XP_001439415.1,9.3e-46,164.9,uncharacterized protein GSPATT00008497
160,Mass_AKT_Aligned,XP_001448741.1,1.4e-45,164.3,uncharacterized protein GSPATT00016186
161,Mass_AKT_Aligned,XP_001446929.1,2.8e-45,163.3,uncharacterized protein GSPATT00014478
162,Mass_AKT_Aligned,XP_001438610.1,3.3e-45,163.0,uncharacterized protein GSPATT00000926
163,Mass_AKT_Aligned,XP_001425621.1,4.4e-45,162.6,uncharacterized protein GSPATT00029259
164,Mass_AKT_Aligned,XP_001456972.1,6.4e-45,162.1,uncharacterized protein GSPATT00022747
165,Mass_AKT_Aligned,XP_001451887.1,1e-44,161.4,uncharacterized protein GSPATT00018695
166,Mass_AKT_Aligned,XP_001432249.1,2.7e-44,160.0,uncharacterized protein GSPATT00034329
167,Mass_AKT_Aligned,XP_001455874.1,3.3e-44,159.7,uncharacterized protein GSPATT00021645
168,Mass_AKT_Aligned,XP_001447448.1,6.7e-44,158.7,uncharacterized protein GSPATT00014958
169,Mass_AKT_Aligned,XP_001457555.1,7e-44,158.6,uncharacterized protein GSPATT00023332
170,Mass_AKT_Aligned,XP_001455269.1,7.9e-44,158.5,uncharacterized protein GSPATT00021496
